id,price,sqft,bedrooms,bathrooms,age_years,neighborhood,sale_date,garage,school_rating
3,410036.0,1512.0,3,2.5,19,Rural,02-Jan-2020,No,1.2
78,362683.0,2299.0,5,2.5,66,Rural,26-Feb-2020,TRUE,
401,335631.0,1956.0,5,2.5,17,Suburbs,10/19/2020,Y,9.6
259,339294.0,2056.0,1,2.5,31,Rural,2020-07-07,No,3.8
488,-1000.0,1932.0,5,1.0,27,Rural,12/21/2020,yes,4.3
298,320247.0,2224.0,1,1.0,23,Midtown,2020-08-04,Y,8.4
64,396898.0,TBD,2,2.0,6,Midtown,2020-02-15,Yes,2.1
484,396462.0,unknown,1,1.5,57,Midtown,2020-12-18,N,5.9
282,210433.0,1768.0,4,1.5,75,Downtown,24-Jul-2020,Y,
71,247945.0,1221.0,4,1.5,39,Rural,02/21/2020,no,7.4
174,251952.0,,1,3.0,41,Suburbs,06-May-2020,FALSE,2.4
34,284898.0,1981.0,1,2.0,35,Rural,2020-01-25,no,3.3
73,276444.0,1905.0,5,1.5,36,Midtown,2020-02-22,N,9.9
79,400047.0,1699.0,5,3.0,79,Midtown,2020-02-26,yes,
1,374377.0,2346.0,1,3.0,33,Midtown,2020-01-01,FALSE,8.0
12,412223.0,1681.0,1,2.0,65,Midtown,09-Jan-2020,Y,
339,442425.0,2535.0,3,1.0,52,Downtown,03-Sep-2020,Y,3.3
23,447803.0,,5,2.0,57,Midtown,01/17/2020,Yes,5.3
479,350507.0,1233.0,3,1.0,24,Suburbs,12/14/2020,No,1.9
491,436823.0,2148.0,3,1.5,5,Downtown,12/23/2020,no,
105,275311.0,1545.0,2,3.0,79,Rural,16-Mar-2020,No,
83,320956.0,1682.0,5,3.0,15,Suburbs,02/29/2020,yes,1.4
186,472860.0,1608.0,4,3.0,15,Suburbs,15-May-2020,yes,4.2
141,383153.0,1202.0,4,1.0,76,Suburbs,12-Apr-2020,Yes,
19,420276.0,2159.0,2,3.0,18,Rural,2020-01-14,No,8.6
357,368752.0,,1,2.5,38,Rural,16-Sep-2020,TRUE,7.8
133,400812.0,1638.0,1,1.5,61,Downtown,2020-04-06,TRUE,
125,416809.0,1988.0,4,3.0,59,Suburbs,03/31/2020,yes,1.4
102,,1569.0,4,3.0,75,Downtown,14-Mar-2020,no,
40,402047.0,1485.0,2,3.0,18,Rural,2020-01-29,yes,4.5
471,377817.0,1687.0,2,1.5,58,Suburbs,09-Dec-2020,yes,
47,419714.0,1881.0,5,3.0,50,Downtown,02/03/2020,yes,2.8
315,416239.0,1549.0,1,1.5,63,Downtown,17-Aug-2020,Yes,
449,439167.0,1953.0,1,2.0,54,Downtown,11/23/2020,Y,4.0
366,,2132.0,3,1.5,48,Midtown,23-Sep-2020,FALSE,6.4
178,362799.0,,1,3.0,7,Midtown,2020-05-09,FALSE,8.9
287,371097.0,1818.0,3,2.0,4,Suburbs,07/27/2020,N,1.6
347,302712.0,3072.0,4,2.5,49,Downtown,09/09/2020,yes,3.1
132,239865.0,2820.0,1,2.5,73,Downtown,05-Apr-2020,no,
434,203528.0,2459.0,1,3.0,16,Suburbs,11/12/2020,N,6.3
457,436099.0,TBD,3,1.0,10,Downtown,2020-11-28,Y,4.6
70,334696.0,1875.0,3,3.0,39,Rural,2020-02-20,FALSE,6.5
358,371627.0,1970.0,2,1.5,70,Downtown,2020-09-17,No,
424,231557.0,1571.0,4,3.0,59,Suburbs,2020-11-04,No,3.5
335,352623.0,1499.0,2,2.5,31,Midtown,08/31/2020,Yes,5.7
228,500148.0,2107.0,3,2.0,72,Downtown,14-Jun-2020,N,
435,424264.0,1924.0,1,2.5,1,Midtown,12-Nov-2020,Y,4.0
437,307288.0,1340.0,3,2.0,66,Suburbs,11/14/2020,Yes,
209,279748.0,1711.0,2,1.5,79,Midtown,05/31/2020,no,
333,294086.0,1349.0,4,3.0,12,Rural,30-Aug-2020,N,4.8
221,332091.0,1762.0,2,3.0,32,Downtown,06/09/2020,TRUE,5.7
42,393452.0,1470.0,4,3.0,61,Rural,30-Jan-2020,N,
325,495652.0,1055.0,3,1.5,26,Rural,2020-08-24,Y,2.4
185,384301.0,1626.0,2,3.0,18,Downtown,05/14/2020,yes,3.8
498,323151.0,1848.0,4,2.5,12,Suburbs,28-Dec-2020,yes,7.2
356,368630.0,1806.0,3,1.0,78,Rural,09/16/2020,No,
321,412588.0,,3,1.0,20,Rural,21-Aug-2020,No,8.2
196,278422.0,1487.0,1,2.0,51,Suburbs,2020-05-22,FALSE,4.1
336,252675.0,1442.0,5,3.0,28,Midtown,01-Sep-2020,no,5.2
493,327100.0,,4,1.5,33,Rural,2020-12-25,TRUE,9.1
451,339509.0,1111.0,3,1.5,66,Downtown,2020-11-24,no,
38,,2259.0,1,1.5,29,Rural,01/28/2020,FALSE,3.5
87,312448.0,,3,1.0,61,Rural,03-Mar-2020,FALSE,
432,387976.0,1979.0,1,2.5,51,Midtown,10-Nov-2020,No,8.4
76,405239.0,1218.0,3,1.0,44,Rural,2020-02-24,TRUE,5.7
458,282347.0,2697.0,5,2.5,7,Suburbs,11/29/2020,yes,1.5
16,281257.0,1938.0,4,2.0,28,Downtown,2020-01-11,yes,
422,,1453.0,2,2.5,50,Midtown,11/03/2020,TRUE,6.5
183,317126.0,2301.0,2,2.0,12,Midtown,12-May-2020,N,9.4
474,364826.0,2047.0,2,2.0,61,Downtown,11-Dec-2020,TRUE,
20,346006.0,2452.0,1,1.5,37,Midtown,01/14/2020,Y,
398,368337.0,1455.0,4,1.5,20,Downtown,10/16/2020,yes,6.3
57,327989.0,1499.0,2,3.0,66,Midtown,10-Feb-2020,No,
450,380670.0,341.0,5,2.5,73,Rural,23-Nov-2020,Y,
343,355763.0,2501.0,5,2.0,17,Downtown,2020-09-06,Y,6.4
441,334860.0,1885.0,1,1.5,77,Suburbs,17-Nov-2020,no,
405,391693.0,1551.0,1,1.0,23,Downtown,21-Oct-2020,Yes,7.8
26,,1623.0,4,1.0,60,Suburbs,01/19/2020,No,9.5
262,328689.0,2054.0,5,2.5,68,Downtown,2020-07-09,TRUE,
43,296759.0,1899.0,5,1.0,4,Rural,2020-01-31,FALSE,2.7
495,325306.0,1756.0,3,2.5,62,Midtown,26-Dec-2020,Yes,
272,375320.0,2344.0,2,2.5,24,Suburbs,07/16/2020,Y,5.7
210,323270.0,2059.0,4,1.0,58,Suburbs,01-Jun-2020,No,4.5
288,354197.0,1719.0,2,2.5,70,Downtown,28-Jul-2020,N,
127,467064.0,1635.0,2,1.0,18,Suburbs,2020-04-01,FALSE,3.4
415,327209.0,unknown,2,2.5,32,Midtown,2020-10-29,Y,6.3
32,317487.0,1424.0,4,1.5,10,Rural,01/23/2020,Y,5.5
114,234315.0,1979.0,4,3.0,4,Rural,23-Mar-2020,FALSE,7.9
361,337798.0,1407.0,1,1.0,19,Rural,2020-09-19,FALSE,9.9
291,329842.0,1502.0,4,1.0,78,Rural,30-Jul-2020,N,
155,,2035.0,3,2.5,48,Downtown,04/22/2020,Y,9.4
58,469595.0,1387.0,4,1.0,72,Downtown,2020-02-11,Y,
212,243889.0,2081.0,2,3.0,60,Downtown,06/03/2020,N,3.4
25,315734.0,,1,1.5,72,Downtown,2020-01-18,no,
18,,1525.0,4,1.5,14,Rural,13-Jan-2020,No,5.1
246,247006.0,,1,1.0,67,Downtown,27-Jun-2020,Y,
67,322102.0,1736.0,3,1.5,46,Rural,2020-02-18,no,2.2
230,327009.0,1352.0,5,1.5,64,Downtown,06/16/2020,TRUE,
226,368258.0,2384.0,5,3.0,63,Suburbs,2020-06-13,TRUE,
95,,1288.0,5,1.5,10,Rural,03/09/2020,yes,1.2
463,222835.0,1399.0,5,2.0,4,Suburbs,2020-12-03,Y,
285,261166.0,1805.0,2,2.5,78,Suburbs,26-Jul-2020,TRUE,
24,337638.0,1723.0,1,1.0,19,Rural,17-Jan-2020,FALSE,2.2
245,520340.0,1840.0,2,1.0,32,Suburbs,06/27/2020,no,6.8
423,,1848.0,5,1.0,29,Downtown,04-Nov-2020,No,
376,536212.0,1017.0,5,1.0,56,Rural,2020-09-30,yes,7.1
6,245826.0,1583.0,3,1.5,59,Rural,04-Jan-2020,no,3.6
117,368614.0,2086.0,2,1.5,61,Downtown,25-Mar-2020,TRUE,
46,367495.0,1736.0,2,2.5,39,Suburbs,2020-02-02,yes,4.5
408,416362.0,1289.0,1,3.0,42,Midtown,24-Oct-2020,N,2.8
17,379500.0,2067.0,4,1.5,14,Suburbs,01/12/2020,TRUE,1.1
485,345457.0,1950.0,5,2.5,33,Downtown,12/19/2020,Y,2.9
371,350914.0,1912.0,2,2.5,75,Rural,09/27/2020,Y,
4,425245.0,1199.0,2,1.5,62,Suburbs,2020-01-03,TRUE,
275,475868.0,1805.0,3,2.0,43,Midtown,07/19/2020,yes,9.1
427,414287.0,1732.0,5,1.5,8,Downtown,2020-11-06,TRUE,7.1
61,215370.0,1772.0,4,3.0,28,Suburbs,2020-02-13,yes,4.1
111,384754.0,1386.0,4,1.0,17,Rural,21-Mar-2020,TRUE,9.4
330,308538.0,731.0,4,1.5,57,Midtown,28-Aug-2020,TRUE,7.0
273,342217.0,1902.0,3,2.5,7,Rural,17-Jul-2020,Y,4.9
30,,2426.0,2,1.5,21,Rural,22-Jan-2020,yes,4.8
281,388411.0,1780.0,3,1.0,12,Rural,07/23/2020,No,3.6
412,163311.0,1959.0,5,1.0,19,Downtown,2020-10-27,Yes,1.4
27,392585.0,2382.0,5,2.0,13,Suburbs,19-Jan-2020,Y,3.4
8,324701.0,N/A,3,2.0,65,Midtown,01/06/2020,Yes,
182,367551.0,2050.0,3,1.0,59,Midtown,05/12/2020,no,2.0
473,327251.0,1889.0,5,1.5,6,Midtown,12/10/2020,yes,9.4
109,417225.0,,4,2.0,17,Rural,2020-03-19,Yes,8.3
38,,2259.0,1,1.5,29,Rural,01/28/2020,FALSE,3.5
158,428619.0,,5,1.0,30,Rural,04/24/2020,TRUE,7.5
489,281877.0,1679.0,1,1.5,13,Downtown,22-Dec-2020,Y,6.6
119,-1000.0,1554.0,3,2.5,4,Midtown,03/27/2020,TRUE,8.2
115,355770.0,1477.0,4,2.0,50,Midtown,2020-03-24,TRUE,1.8
426,321359.0,2553.0,2,2.5,42,Suburbs,06-Nov-2020,No,8.9
176,363807.0,1940.0,5,2.0,64,Midtown,05/07/2020,No,
205,185986.0,2220.0,1,2.0,19,Suburbs,2020-05-28,Y,5.8
370,417551.0,1781.0,1,1.0,66,Rural,2020-09-26,Y,
145,284965.0,1665.0,1,2.0,44,Rural,2020-04-15,TRUE,9.7
195,261436.0,1469.0,1,1.5,42,Suburbs,21-May-2020,TRUE,6.9
384,,1331.0,3,2.0,27,Suburbs,06-Oct-2020,TRUE,1.6
396,361059.0,2220.0,1,2.0,59,Midtown,15-Oct-2020,Y,8.5
377,333587.0,1795.0,4,2.0,25,Downtown,10/01/2020,N,9.8
487,287641.0,1238.0,4,3.0,56,Midtown,2020-12-20,Yes,6.1
239,265007.0,1152.0,2,2.5,1,Rural,06/22/2020,Yes,8.6
465,260609.0,1786.0,5,1.0,7,Suburbs,04-Dec-2020,Yes,5.5
142,270837.0,2080.0,4,1.0,22,Midtown,2020-04-12,No,4.7
407,,1710.0,3,2.0,43,Rural,10/23/2020,yes,2.4
68,313012.0,,1,2.5,38,Suburbs,02/18/2020,N,8.3
232,302743.0,1823.0,1,2.0,21,Rural,2020-06-17,FALSE,7.8
169,337469.0,,3,2.0,70,Rural,2020-05-02,FALSE,
189,240547.0,1616.0,1,1.5,45,Downtown,17-May-2020,N,2.7
238,336987.0,2123.0,1,1.5,10,Downtown,2020-06-22,N,7.8
391,,1467.0,2,3.0,33,Midtown,2020-10-11,FALSE,7.5
312,385127.0,1569.0,3,1.5,62,Downtown,15-Aug-2020,FALSE,
194,5000.0,899.0,3,1.0,68,Rural,05/20/2020,no,
82,297046.0,1337.0,2,3.0,18,Downtown,2020-02-29,Y,3.4
110,211814.0,2015.0,3,1.5,13,Rural,03/20/2020,no,3.8
263,368574.0,2096.0,2,1.5,19,Midtown,07/10/2020,no,1.4
146,316771.0,1743.0,2,2.0,21,Suburbs,04/15/2020,No,8.1
93,316136.0,2529.0,3,1.0,12,Midtown,08-Mar-2020,yes,4.0
153,216025.0,2467.0,1,1.0,62,Midtown,20-Apr-2020,FALSE,
353,,2163.0,1,1.0,48,Suburbs,09/13/2020,Yes,1.4
411,231425.0,1499.0,4,2.5,63,Suburbs,26-Oct-2020,FALSE,
278,261007.0,1959.0,4,1.5,10,Suburbs,07/21/2020,no,4.5
84,319461.0,1371.0,3,1.5,63,Rural,01-Mar-2020,N,
104,409001.0,1549.0,4,1.0,27,Downtown,03/16/2020,yes,7.9
166,277766.0,1118.0,4,1.0,45,Downtown,2020-04-30,TRUE,2.1
164,284289.0,1663.0,1,1.5,0,Midtown,04/28/2020,No,3.3
200,,N/A,5,3.0,78,Suburbs,05/25/2020,Y,
251,320540.0,1805.0,1,2.0,6,Downtown,07/01/2020,yes,1.8
75,361394.0,1876.0,2,2.0,61,Midtown,24-Feb-2020,N,
469,438479.0,2170.0,3,1.5,42,Suburbs,2020-12-07,TRUE,8.5
235,291673.0,1911.0,5,1.0,9,Downtown,2020-06-19,No,8.8
499,190735.0,1852.0,2,1.0,60,Rural,2020-12-29,yes,1.1
120,330852.0,2380.0,3,3.0,66,Downtown,27-Mar-2020,yes,
292,362205.0,1300.0,4,3.0,59,Rural,2020-07-31,TRUE,2.9
433,5000.0,2266.0,4,3.0,24,Downtown,2020-11-11,Yes,
456,362815.0,2348.0,2,2.5,16,Downtown,28-Nov-2020,Yes,9.6
368,284220.0,1637.0,4,2.5,52,Suburbs,09/24/2020,Yes,7.8
417,437137.0,2375.0,2,2.5,27,Suburbs,30-Oct-2020,No,7.5
248,496953.0,2007.0,3,3.0,31,Midtown,06/29/2020,Yes,4.1
266,431017.0,1087.0,3,2.0,18,Rural,07/12/2020,Yes,9.5
269,354252.0,1288.0,1,1.5,68,Midtown,07/14/2020,no,
313,489515.0,1901.0,5,2.0,76,Rural,2020-08-15,no,
399,392405.0,1992.0,1,2.5,41,Rural,17-Oct-2020,Y,3.9
379,478340.0,1759.0,4,2.0,48,Midtown,2020-10-02,no,5.8
37,340884.0,1584.0,4,2.0,68,Suburbs,2020-01-27,TRUE,
197,401466.0,872.0,4,1.5,59,Rural,05/23/2020,Y,6.9
140,,2010.0,1,3.0,18,Midtown,04/11/2020,Yes,4.2
389,372102.0,799.0,3,2.0,67,Downtown,10/10/2020,Y,
439,297657.0,2176.0,3,2.5,4,Downtown,2020-11-15,Y,5.7
302,227291.0,1367.0,5,3.0,19,Downtown,08/07/2020,N,8.8
419,344469.0,2345.0,3,3.0,35,Suburbs,11/01/2020,TRUE,8.1
60,427462.0,1444.0,2,1.0,63,Midtown,13-Feb-2020,Y,
470,,1814.0,3,1.0,66,Suburbs,12/08/2020,FALSE,
249,582405.0,1651.0,5,1.0,20,Rural,30-Jun-2020,TRUE,7.3
112,369019.0,,2,1.0,15,Downtown,2020-03-22,TRUE,1.8
90,385722.0,2444.0,2,1.0,69,Suburbs,05-Mar-2020,FALSE,
462,283330.0,1852.0,5,1.5,5,Rural,02-Dec-2020,FALSE,6.0
267,362434.0,1833.0,3,3.0,41,Downtown,13-Jul-2020,N,7.8
375,394329.0,,3,3.0,73,Downtown,30-Sep-2020,yes,
151,337309.0,2539.0,5,2.5,55,Rural,2020-04-19,yes,2.5
397,410811.0,TBD,2,1.5,43,Midtown,2020-10-16,Yes,7.5
39,284042.0,842.0,2,2.0,72,Rural,28-Jan-2020,yes,
326,408462.0,1812.0,4,2.0,63,Midtown,08/25/2020,Yes,
199,349590.0,1434.0,1,2.0,10,Midtown,2020-05-24,N,9.5
303,419106.0,1938.0,1,3.0,24,Midtown,08-Aug-2020,yes,4.3
147,301032.0,2046.0,3,2.0,0,Suburbs,16-Apr-2020,TRUE,9.7
409,190555.0,1828.0,1,1.5,32,Rural,2020-10-24,Yes,5.9
148,338737.0,1108.0,5,2.5,34,Suburbs,2020-04-17,N,8.5
318,294206.0,1898.0,5,1.0,58,Downtown,19-Aug-2020,FALSE,3.1
297,373680.0,2198.0,2,1.5,49,Rural,04-Aug-2020,Yes,4.4
124,458735.0,1552.0,2,2.0,15,Suburbs,2020-03-30,Yes,4.7
383,221819.0,1356.0,1,3.0,36,Rural,10/05/2020,TRUE,5.7
97,244184.0,1592.0,2,1.5,59,Rural,2020-03-11,N,7.8
144,371417.0,1869.0,1,2.0,77,Downtown,14-Apr-2020,Y,
240,307645.0,901.0,3,1.0,75,Rural,23-Jun-2020,no,
322,334748.0,2375.0,1,2.0,41,Midtown,2020-08-22,No,5.4
98,270220.0,2125.0,5,3.0,21,Downtown,03/11/2020,No,9.9
472,317434.0,1758.0,5,1.5,46,Rural,2020-12-09,No,
123,,1908.0,2,3.0,53,Downtown,30-Mar-2020,no,3.5
184,438503.0,1591.0,3,2.5,29,Suburbs,2020-05-13,Y,9.5
203,357247.0,1388.0,2,1.5,52,Rural,05/27/2020,No,3.9
247,,,1,2.5,50,Suburbs,2020-06-28,Y,2.7
317,355324.0,1639.0,5,3.0,61,Downtown,08/18/2020,No,
97,244184.0,1592.0,2,1.5,59,Rural,2020-03-11,N,7.8
365,339999.0,1523.0,3,3.0,18,Downtown,09/22/2020,Y,6.0
311,,1719.0,1,1.0,66,Midtown,08/14/2020,No,
413,295739.0,,1,3.0,63,Rural,10/27/2020,yes,
497,,2107.0,5,3.0,33,Midtown,12/28/2020,No,6.8
126,378550.0,1587.0,5,1.5,14,Rural,01-Apr-2020,no,5.0
490,403247.0,1607.0,3,1.5,37,Rural,2020-12-22,No,9.2
224,,1201.0,4,2.0,23,Rural,06/11/2020,N,1.5
486,336367.0,2053.0,1,2.0,35,Suburbs,20-Dec-2020,Y,2.5
220,294325.0,1391.0,3,3.0,14,Suburbs,2020-06-08,yes,9.7
130,275874.0,835.0,1,1.0,21,Midtown,2020-04-04,FALSE,8.9
438,264420.0,1765.0,4,2.0,64,Rural,15-Nov-2020,Yes,
299,209462.0,2210.0,1,3.0,33,Downtown,08/05/2020,N,2.2
452,377902.0,1981.0,1,1.0,26,Downtown,11/25/2020,N,8.0
393,312258.0,1637.0,3,3.0,69,Rural,13-Oct-2020,N,
403,415642.0,1741.0,3,2.0,58,Downtown,2020-10-20,TRUE,7.0
369,366184.0,1566.0,5,3.0,74,Rural,25-Sep-2020,no,
305,345094.0,2315.0,4,1.5,53,Rural,08/09/2020,N,1.6
295,331052.0,,4,1.0,12,Rural,2020-08-02,yes,5.5
381,-1000.0,1890.0,5,1.0,37,Suburbs,04-Oct-2020,yes,2.0
355,435478.0,1911.0,2,2.0,48,Rural,2020-09-15,yes,1.6
113,302468.0,1231.0,4,1.5,59,Downtown,03/22/2020,N,9.9
180,372866.0,1733.0,3,3.0,31,Midtown,10-May-2020,Y,9.3
319,429167.0,1909.0,5,1.0,23,Downtown,2020-08-20,no,5.9
425,278949.0,1734.0,3,2.5,74,Rural,11/05/2020,TRUE,
342,374349.0,1814.0,1,1.0,78,Midtown,05-Sep-2020,no,
128,254899.0,2345.0,5,2.0,64,Suburbs,04/02/2020,FALSE,
374,417346.0,1825.0,2,1.0,17,Midtown,09/29/2020,TRUE,4.0
234,446468.0,1725.0,5,1.0,21,Downtown,19-Jun-2020,no,7.5
282,210433.0,1768.0,4,1.5,75,Downtown,24-Jul-2020,Y,
323,443700.0,1335.0,4,1.5,63,Suburbs,08/23/2020,TRUE,
165,417079.0,1767.0,3,2.0,45,Suburbs,29-Apr-2020,no,7.0
137,,1724.0,1,2.5,79,Downtown,04/09/2020,N,
198,318432.0,1415.0,4,3.0,55,Rural,23-May-2020,N,1.8
259,339294.0,2056.0,1,2.5,31,Rural,2020-07-07,No,3.8
233,375248.0,2019.0,3,3.0,48,Midtown,06/18/2020,No,5.6
116,307641.0,,2,2.0,75,Downtown,03/24/2020,N,
121,268120.0,1624.0,2,2.5,0,Suburbs,2020-03-28,N,8.7
362,380672.0,1223.0,3,2.5,61,Downtown,09/20/2020,No,
225,357239.0,1431.0,4,1.0,15,Midtown,12-Jun-2020,FALSE,4.9
442,376293.0,2155.0,5,2.0,46,Midtown,2020-11-17,TRUE,2.3
349,,1517.0,2,3.0,7,Downtown,2020-09-11,Y,1.1
128,254899.0,2345.0,5,2.0,64,Suburbs,04/02/2020,FALSE,
286,,1900.0,2,1.0,35,Rural,2020-07-27,TRUE,1.3
429,239425.0,1707.0,1,2.0,9,Rural,08-Nov-2020,FALSE,6.3
108,322877.0,1979.0,3,3.0,23,Midtown,19-Mar-2020,no,7.9
385,221898.0,1363.0,5,1.5,65,Rural,2020-10-07,yes,
337,5000.0,1669.0,2,2.5,28,Rural,2020-09-02,N,3.9
134,,,2,3.0,11,Midtown,04/07/2020,N,4.0
378,189718.0,1712.0,4,2.0,45,Suburbs,02-Oct-2020,no,4.8
45,359335.0,1699.0,4,1.0,29,Midtown,02-Feb-2020,No,1.3
482,464657.0,1188.0,2,1.0,41,Suburbs,12/17/2020,yes,2.3
66,413468.0,,4,1.0,1,Suburbs,17-Feb-2020,Yes,7.7
284,386354.0,2158.0,3,1.0,58,Suburbs,07/25/2020,no,5.5
86,388958.0,2599.0,3,2.0,67,Suburbs,03/03/2020,TRUE,
243,209382.0,1392.0,3,1.0,74,Rural,25-Jun-2020,No,
187,364659.0,2116.0,4,3.0,13,Rural,2020-05-15,Yes,5.1
400,,1186.0,2,2.5,69,Rural,2020-10-18,yes,
160,255204.0,1670.0,5,2.0,66,Rural,2020-04-26,yes,
13,355282.0,1840.0,2,1.5,22,Downtown,2020-01-09,Yes,5.9
36,440318.0,,2,2.5,24,Downtown,26-Jan-2020,N,8.7
29,,1903.0,4,3.0,14,Suburbs,01/21/2020,FALSE,
171,297617.0,2114.0,2,1.0,16,Downtown,04-May-2020,yes,6.3
143,179436.0,2621.0,4,3.0,27,Midtown,04/13/2020,no,8.4
416,365823.0,2263.0,2,2.5,2,Suburbs,10/29/2020,No,6.9
354,415101.0,1812.0,5,2.0,30,Suburbs,14-Sep-2020,No,7.7
222,369400.0,2251.0,2,1.0,37,Downtown,10-Jun-2020,FALSE,9.2
96,234231.0,1631.0,5,2.0,32,Suburbs,10-Mar-2020,Yes,2.8
52,400503.0,2023.0,5,1.5,79,Downtown,2020-02-07,Y,
241,279851.0,2201.0,2,2.0,41,Downtown,2020-06-24,FALSE,1.3
387,385171.0,2298.0,5,1.0,60,Rural,08-Oct-2020,No,2.8
352,417727.0,1604.0,4,2.5,63,Rural,2020-09-13,FALSE,
395,406156.0,,3,2.5,28,Downtown,10/14/2020,No,7.8
179,340509.0,1955.0,1,2.0,11,Midtown,05/09/2020,FALSE,5.3
42,393452.0,1470.0,4,3.0,61,Rural,30-Jan-2020,N,
455,355550.0,1515.0,1,1.5,23,Suburbs,11/27/2020,Y,6.5
404,318501.0,2435.0,2,3.0,70,Suburbs,10/21/2020,No,
207,282542.0,,2,2.0,5,Rural,30-May-2020,No,1.5
283,424195.0,TBD,4,1.0,8,Downtown,2020-07-24,Yes,7.9
359,,1025.0,4,1.0,62,Rural,09/18/2020,Yes,
255,330378.0,2514.0,4,2.5,34,Rural,04-Jul-2020,FALSE,3.6
430,381426.0,1830.0,5,2.5,35,Rural,2020-11-09,Yes,3.0
